"ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"24117","Wif1","Wnt inhibitory factor 1",1.81994310357102,2.97554451637415,20.1077980188267,1.06376999354268e-10,1.0162397161481e-06,14.9697675896291
"381290","Atp2b4","ATPase, Ca++ transporting, plasma membrane 4",-2.14388533952124,3.94406592699308,-19.0749519091421,1.98293411239954e-10,1.0162397161481e-06,14.3955599972694
"78896","Ecrg4","ECRG4 augurin precursor",2.8075475316806,3.03651949599822,18.5477299539775,2.75882809721044e-10,1.0162397161481e-06,14.0741647954147
"226101","Myof","myoferlin",-2.32974392966639,6.22352456183714,-18.2686065016481,3.29766662710151e-10,1.0162397161481e-06,13.8580226261553
"16012","Igfbp6","insulin-like growth factor binding protein 6",-2.89611515497498,1.97844875752276,-18.2152473015021,3.41306640665959e-10,1.0162397161481e-06,13.4698354110949
"231830","Micall2","MICAL-like 2",2.25339982481145,4.76059696752856,18.0262686035302,3.85816141286294e-10,1.0162397161481e-06,13.675997801785
"16669","Krt19","keratin 19",-2.31272074376765,8.74189184060236,-17.0793718856912,7.26454790911733e-10,1.640127359367e-06,13.1735741098804
"55987","Cpxm2","carboxypeptidase X, M14 family member 2",-1.51546863348474,2.8345119413149,-16.6433318380126,9.82987025229083e-10,1.71870346311316e-06,12.8878158709093
"231991","Creb5","cAMP responsive element binding protein 5",-2.59810458251621,4.27592952345113,-16.5363425141076,1.05988541472163e-09,1.71870346311316e-06,12.6601952877333
"14620","Gjb3","gap junction protein, beta 3",3.60009376671151,3.52528050769349,16.4662668173683,1.11375541516944e-09,1.71870346311316e-06,12.5407120829716
"211577","Mrgprf","MAS-related GPR, member F",-5.14626842050727,-0.936833491489371,-16.3657336122688,1.19626285081275e-09,1.71870346311316e-06,10.4459826135036
"20317","Serpinf1","serine (or cysteine) peptidase inhibitor, clade F, member 1",1.71037997156101,3.3888348962286,15.7728039654619,1.83872691906797e-09,2.35635077400697e-06,12.2658647029698
"74747","Ddit4","DNA-damage-inducible transcript 4",2.18037012538574,6.8647911022832,15.7014468228819,1.93827892065873e-09,2.35635077400697e-06,12.2257478025223
"270150","Ccdc153","coiled-coil domain containing 153",-3.21114827988465,-1.34083881791359,-15.5012570296028,2.24993134183928e-09,2.53985106617343e-06,11.1769534226848
"11636","Ak1","adenylate kinase 1",2.76674499153779,4.30347461536789,15.2769363807749,2.66464029851251e-09,2.80746501851278e-06,11.8947105244627
"20482","Skil","SKI-like",1.88756079716885,8.49892507013266,14.6548839103005,4.31133438419708e-09,4.25852053799067e-06,11.4499595651827
